"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"341",34,71.665,62.235,95.36225,81.24,72.54975,87.54025
"342",34.1,71.7,62.23525,95.52225,81.28,72.56,87.6005
"343",34.2,71.735,62.245,95.69175,81.32,72.57975,87.6605
"344",34.3,71.77,62.255,95.8515,81.36,72.58975,87.72
"345",34.4,71.81,62.265,96.0115,81.41,72.6,87.77025
"346",34.5,71.845,62.275,96.181,81.45,72.61975,87.83025
"347",34.6,71.88,62.285,96.3505,81.49,72.62975,87.9
"348",34.7,71.92,62.29475,96.53,81.52,72.64,87.95025
"349",34.8,71.955,62.30475,96.6805,81.54,72.65,88.0105
"350",34.9,71.99,62.31475,96.83125,81.57,72.66975,88.0705
"351",35,72.025,62.32475,96.98175,81.6,72.67975,88.13075
"352",35.1,72.055,62.3345,97.13225,81.625,72.69,88.1905
"353",35.2,72.085,62.33475,97.29275,81.66,72.7,88.24075
"354",35.3,72.115,62.34475,97.453,81.695,72.71975,88.30075
"355",35.4,72.145,62.3545,97.60375,81.72,72.72975,88.3705
"356",35.5,72.18,62.3645,97.764,81.745,72.73975,88.44
"357",35.6,72.21,62.3745,97.9245,81.765,72.75,88.5
"358",35.7,72.24,62.37475,98.08475,81.795,72.76,88.56025
"359",35.8,72.27,62.3845,98.245,81.83,72.77,88.61025
"360",35.9,72.3,62.3945,98.4055,81.86,72.78,88.66025
"361",36,72.33,62.4045,98.556,81.895,72.79975,88.71025
"362",36.1,72.36,62.41425,98.71625,81.93,72.80975,88.7505
"363",36.2,72.395,62.4145,98.87675,81.96,72.81975,88.79075
"364",36.3,72.425,62.42425,99.037,82,72.82975,88.8505
"365",36.4,72.46,62.43425,99.1875,82.03,72.83975,88.92
"366",36.5,72.49,62.44425,99.348,82.06,72.84975,88.9605
